estimated_study_hours,hours_left_until_deadline,completion_percentage,difficulty,risk_level
3.7,55.1,57.8,Medium,Low
9.9,78.5,81.1,Medium,Low
2.6,83.5,41.4,Easy,Low
8.2,1.9,15.2,Easy,High
7.0,108.2,44.1,Medium,Low
7.4,12.0,8.2,Medium,Medium
12.1,8.6,8.4,Hard,High
19.1,18.8,27.4,Hard,High
13.6,15.4,15.9,Easy,Low
4.3,161.4,85.8,Medium,Low
7.9,10.5,28.9,Easy,Medium
3.0,86.8,86.3,Easy,Low
11.7,7.1,13.5,Medium,High
5.6,118.7,67.8,Easy,Low
9.2,100.0,42.6,Easy,Low
6.9,13.3,43.8,Easy,Low
8.8,56.6,88.1,Hard,Low
19.2,7.6,34.5,Hard,High
12.2,40.5,46.5,Medium,Low
13.3,3.3,35.7,Hard,High
6.1,4.1,21.7,Hard,High
7.4,31.9,54.9,Easy,High
5.1,9.8,33.1,Hard,Medium
10.4,12.9,24.9,Hard,High
11.4,7.2,0.7,Hard,High
3.7,48.0,44.7,Hard,Low
14.2,17.3,17.3,Hard,High
5.6,50.9,40.6,Medium,Low
4.7,50.2,58.4,Medium,Low
7.0,85.6,97.0,Medium,Low
14.7,12.1,22.9,Hard,High
15.1,10.8,26.3,Easy,High
14.6,31.4,57.2,Medium,Low
9.1,30.4,27.4,Easy,Low
5.1,143.5,70.8,Medium,Low
9.6,43.0,47.9,Medium,Low
12.0,3.0,40.0,Medium,High
8.2,125.4,83.7,Hard,Low
6.9,7.5,35.7,Easy,Medium
5.8,20.1,66.9,Easy,Low
9.8,13.8,37.6,Easy,Medium
8.7,154.6,67.5,Medium,Low
10.0,47.2,53.2,Hard,Low
16.3,7.2,36.4,Medium,High
1.8,124.1,62.9,Medium,Low
2.8,65.4,55.8,Medium,Low
18.0,13.4,14.2,Hard,High
4.3,12.7,49.1,Medium,Low
12.5,16.0,15.5,Medium,High
3.6,21.0,21.8,Easy,Low
19.2,18.2,26.3,Hard,High
1.7,90.0,85.8,Hard,Low
5.1,98.3,82.0,Hard,Low
9.8,13.6,36.4,Easy,Medium
1.2,155.9,52.9,Easy,Low
12.1,52.9,35.6,Hard,Low
1.0,46.7,86.3,Medium,Low
9.5,49.0,67.7,Easy,Low
6.1,74.2,53.9,Hard,Low
2.4,132.0,57.8,Hard,Low
7.1,12.0,12.8,Hard,High
1.5,44.7,87.3,Easy,Low
13.2,11.6,39.7,Easy,Medium
19.5,14.3,19.7,Easy,High
11.2,38.0,50.0,Hard,Low
1.6,55.5,86.9,Easy,Low
6.9,100.6,83.0,Hard,Low
15.0,15.0,24.1,Medium,Low
13.2,10.3,38.7,Hard,High
10.4,15.8,36.2,Hard,Medium
5.6,63.0,73.1,Hard,Low
9.2,21.9,53.5,Medium,Low
17.2,7.8,36.3,Easy,Medium
10.1,42.5,68.5,Hard,Low
5.9,110.6,99.9,Easy,Low
3.7,33.0,22.7,Hard,Low
14.6,44.3,23.8,Easy,Low
3.5,36.5,67.6,Easy,Low
13.9,9.7,18.5,Hard,High
6.8,48.4,26.2,Medium,Low
2.1,116.9,99.0,Hard,Low
18.7,9.9,29.9,Hard,High
4.9,74.1,81.1,Easy,Low
15.0,13.9,38.9,Hard,High
4.0,122.8,93.7,Hard,Low
13.0,27.0,41.7,Easy,Low
1.8,146.3,92.9,Easy,Low
1.1,115.3,82.5,Easy,Low
7.4,42.8,50.7,Medium,Low
18.0,12.7,9.7,Medium,High
9.1,6.7,32.0,Medium,High
14.7,1.1,29.2,Easy,High
7.9,96.9,46.1,Medium,Low
11.4,18.7,10.6,Medium,Medium
